street,city,state,postal_code,latitude,longitude
3170 Highland Ave,Selma,CA,93662,,
1818 Durfee Ave Ste 2e,South El Monte,CA,91733,34.043584022136,-118.032370060915
4302 Austin Bluffs Pkwy,Colorado Springs,CO,80918,38.894264127661,-104.751241983714
9288 Forest Bluffs View Ste 130,Colorado Springs,CO,80920,,
889 N Academy Blvd,Colorado Springs,CO,80909,38.845121782762,-104.757189218745
39 Spectrum Loop,Colorado Springs,CO,80921,39.024885027534,-104.817998480061
4595 Tower Rd,Denver,CO,80249,39.783563264123,-104.772144436758
4395 Sheridan Blvd,Denver,CO,80212,39.77645575751,-105.053320422993
951 16th St Ste 100a,Denver,CO,80202,39.74691599363,-104.994327793441
4275 City Centre Dr Unit 100-200,Firestone,CO,80504,,
9225 S Broadway Ste B,Highlands Ranch,CO,80129,39.548714821573,-104.991896157311
9893 W Chatfield Ave Unit 110,Littleton,CO,80128,39.569639908411,-105.109999126356
1405 Denver Ave,Loveland,CO,80538,40.40756551491,-105.04461482722
304 Center Dr,Superior,CO,80027,39.957546364822,-105.168531987516
3886 E 104th Ave # 3886,Thornton,CO,80233,39.884721982271,-104.941555989156
16765 Washington St,Thornton,CO,80023,39.998569327953,-104.974563974058
7321 Sheridan Blvd,Westminster,CO,80003,39.830010354559,-105.053343533697
7 Backus Ave,Danbury,CT,6810,41.376453415848,-73.484176592533
38 New Haven Ave,Derby,CT,6418,41.314305360042,-73.078482306714
96 Danbury Rd,New Milford,CT,6776,41.56094024342,-73.415914581769
300 Universal Dr N,North Haven,CT,6473,,
640 Main Ave,Norwalk,CT,6851,41.152063710088,-73.424686840741
475 Bridgeport Ave Ste 1,Shelton,CT,6484,41.289704792914,-73.112379549684
100 Greyrock Pl Spc F157,Stamford,CT,6901,41.053954889266,-73.536179151595
495 Union St Spc D10,Waterbury,CT,6706,41.549618160495,-73.027311373162
1561 New Britain Ave,West Hartford,CT,6110,41.720522796532,-72.761265297844
1407 Churchmans Rd,Newark,DE,19713,,
4400 Atlanta Hwy,Athens,GA,30606,33.940366698408,-83.487878727222
1905 Epps Bridge Pkwy,Athens,GA,30606,33.918082588046,-83.443035358624
3450 Wrightsboro Road Ste 1800,Augusta,GA,30909,33.467330957676,-82.080295538012
1001 E-West Connector Ste 206,Austell,GA,30106,,
200 W Shotwell St Bldg C,Bainbridge,GA,39819,30.904098493551,-84.577355655088
3418 Braselton Hwy Ste 108,Buford,GA,30519,,
261 W Belmont Dr Ste B,Calhoun,GA,30701,34.480903681727,-84.928515077399
3131 Manchester Expy Ste 136,Columbus,GA,31909,32.506108590461,-84.944529090179
1045 Market Pl Blvd,Cumming,GA,30041,,
852 Shugart Rd Ste A,Dalton,GA,30720,34.786247080674,-84.996380896807
320 Elbert St,Elberton,GA,30635,34.108124759302,-82.858688272359
3645 Mundy Mill Rd,Gainesville,GA,30504,,
305 Gateway Drive Ste 5,Grovetown,GA,30813,,
721 W Oglethorpe Hwy Ste 9,Hinesville,GA,31313,31.824780816347,-81.598991225426
175 Whitfield Dr,Jasper,GA,30143,34.460304082585,-84.4583199587
2957 Town Center Dr Nw,Kennesaw,GA,30144,34.021350856415,-84.564456709656
2423 Osborne Rd Ste 5,Saint Marys,GA,31558,30.750386113539,-81.572794548751
4450 Atlanta Hwy,Loganville,GA,30052,33.836571969296,-83.898745820525
6071 Zebulon Rd,Macon,GA,31210,32.879971834833,-83.763088562972
4989 Peachtree Pkwy Ste 3001,Peachtree Corners,GA,30092,,
9855 Ford Ave Ste 3,Richmond Hill,GA,31324,,
10945 Crabapple Road Ste 21,Roswell,GA,30075,34.046597484695,-84.361091973494
1201 S Harris St,Sandersville,GA,31082,32.957590212902,-82.809006013838
6035 Roswell Rd Ste 130,Sandy Springs,GA,30328,33.919776451,-84.378921742581
5500 Abercorn St Ste 52,Savannah,GA,31405,32.024940362565,-81.109204121098
11506 Abercorn St Ste 118,Savannah,GA,31419,31.982157592238,-81.148502385273
2335 E Victory Dr Ste 109,Savannah,GA,31404,32.03667590781,-81.056791030616
2045 Scenic Hwy N Ste 300,Snellville,GA,30078,33.868092101456,-84.015944766874
414 S Main St Ste 2,Swainsboro,GA,30401,,
122 Hwy 19 N Ste B,Thomaston,GA,30286,,
15006 Us Hwy 19 S Ste D,Thomasville,GA,31792,30.854175118219,-83.945556179086
2401 Washington Rd Ste A,Thomson,GA,30824,33.520581353731,-82.504041912206
17183 Us 27,Trion,GA,30753,,
601 N Liberty St,Waynesboro,GA,30830,33.090062864342,-82.015919853287
2235 Gateway Center Dr,Belvidere,IL,61008,,
201 S Bolingbrook Dr Ste 201,Bolingbrook,IL,60440,41.694728617386,-88.068268605399
6710 N Olmsted Ave,Chicago,IL,60631,42.002170410004,-87.817050086544
444 Chicago Ridge Mall,Chicago Ridge,IL,60415,41.719151849784,-87.782523386863
1538 Ellinwood Ave,Des Plaines,IL,60016,42.040321394853,-87.886212711074
606 E Rand Rd,Elk Grove Village,IL,60007,,
517 S Division St,Harvard,IL,60033,42.422255410659,-88.613443847613
11924 Rt 47,Huntley,IL,60142,42.156566512442,-88.430852021471
40 Yorktown Ctr,Lombard,IL,60148,41.841026199408,-88.003234497902
1630 W Golf Rd,Mount Prospect,IL,60056,42.048178254627,-87.959392858155
1057 S Lake St Ste 106,Mundelein,IL,60060,,
4101 N Sterling Ave,Peoria,IL,61615,40.736706621736,-89.631768843529
2107 S Perryville Rd,Rockford,IL,61108,42.244899753846,-88.980051714503
5277 Elevator Rd,Roscoe,IL,61073,42.428433769526,-89.013991191953
4909 Oakton St,Skokie,IL,60077,42.026218125377,-87.750442957637
2161 E Main St,St Charles,IL,60174,41.92007700696,-88.28721573226
7240 Woodward Ave,Woodridge,IL,60517,41.756073351464,-88.031269257366
501 S Eastwood Dr,Woodstock,IL,60098,42.309978176283,-88.43242896469
2954 E 3rd St,Bloomington,IN,47401,39.164155276463,-86.494485770862
20 Mc Cormick Ln,Brazil,IN,47834,,
2515 Edsel Ln,Corydon,IN,47112,,
7320 E 96th St,Fishers,IN,46037,39.927117791081,-86.040498418914
6330 Lima Rd,Fort Wayne,IN,46818,41.139598170766,-85.162287207326
7536 W Jefferson Blvd,Fort Wayne,IN,46804,41.043195606457,-85.239919770632
10107 Coldwater Rd Ste 400,Fort Wayne,IN,46825,41.173851047192,-85.130885454422
1320 Indianapolis Rd,Greencastle,IN,46135,39.646204204147,-86.830141618974
6942 Indianapolis Blvd,Hammond,IN,46324,41.587549272063,-87.481006810926
6330 E 82nd St,Indianapolis,IN,46250,39.90538634956,-86.058785782659
4329 Keystone Ave,Indianapolis,IN,46205,39.835939391221,-86.121742887455
1440 E 86th St Ste 4,Indianapolis,IN,46240,39.91257824213,-86.135265878512
751 Massachusetts Ave,Indianapolis,IN,46204,39.776977698639,-86.14609218808
4018 State Road 26 East,Lafayette,IN,47905,40.417811418863,-86.830697537053
3615 South St,Lafayette,IN,47905,,
408 State St,New Albany,IN,47150,38.285860043895,-85.824071998075
417 W Ireland Rd,South Bend,IN,46614,41.629160795195,-86.245771076803
15 Honey Creek Mall,Terre Haute,IN,47802,39.427315038034,-87.417361360907
2680 Fort Harrison Rd,Terre Haute,IN,47802,39.506773516943,-87.376828499255
507 N 14th Ave Ste C,Dodge City,KS,67801,37.753739568605,-100.032975393755
929 W 12th Ave,Emporia,KS,66801,38.412241929883,-96.191947041005
3108 E Kansas Ave,Garden City,KS,67846,37.984948472234,-100.835183091604
1219 Main Street,Great Bend,KS,67530,38.363551776879,-98.765206091605
1207 Vine St,Hays,KS,67601,38.870079371976,-99.318002485611
1703 N State St,Iola,KS,66749,37.938166109325,-95.408861788518
8724 Ryckert St,Lenexa,KS,66219,38.970161806288,-94.778319881417
435 N Kansas Ave Ste B,Liberal,KS,67901,37.042090590793,-100.922247352376
730 S Main St,Ottawa,KS,66067,38.607908191393,-95.268720586274
2601 N Broadway Suite 5,Pittsburg,KS,66762,37.432483607268,-94.704972334831
8025 W Kellogg Dr,Wichita,KS,67209,37.671953373678,-97.435261195375
2411 N Maize Rd,Wichita,KS,67205,37.72783720112,-97.462741884644
4715 S Seneca St Suite A,Wichita,KS,67217,37.609351923526,-97.352372534331
1310 Main St,Winfield,KS,67156,37.236057171725,-96.99702537717
609 29th Street,Ashland,KY,41101,38.467284514873,-82.626793038886
66 Martha Layne Collins Blvd,Cold Spring,KY,41076,39.026818214327,-84.453200599865
1750 Cumberland Falls Hwy,Corbin,KY,40701,36.918546533741,-84.124836464026
7900 Old Lagrange Road Suite 101,Crestwood,KY,40014,,
1967 Dixie Hwy,Florence,KY,41042,,
118 Osbourne Way Suite 120,Georgetown,KY,40324,38.228839509177,-84.53758593538
840 S Broadway Suite 108,Lexington,KY,40504,,
2573 Nicholasville Road,Lexington,KY,40503,38.000195804343,-84.520705808209
2116 Richmond Road,Lexington,KY,40502,,
1835 Alysheba Way,Lexington,KY,40509,38.018725518979,-84.41950318334
3101 Nicholasville Rd,Lexington,KY,40503,,
9109 Dixie Highway,Louisville,KY,40272,38.122279663606,-85.854689070817
7009 Dixie Highway,Louisville,KY,40258,38.148760714016,-85.837431250396
6600 Bardstown Rd,Louisville,KY,40291,38.151299430805,-85.587993438996
4201 Outer Loop,Louisville,KY,40219,38.138438039185,-85.684693190382
200 Piney Grove Way,Louisville,KY,40229,,
2500 S Hurstbourne Pkwy,Louisville,KY,40220,38.215518161984,-85.591178139197
4605 Bardstown Rd,Louisville,KY,40218,38.180816772127,-85.626011250731
12911 Shelbyville Rd,Louisville,KY,40243,38.243164559809,-85.514890108118
194 Kroger Center,Morehead,KY,40351,38.193708032568,-83.482053691631
512 Indian Mound Dr,Mt Sterling,KY,40353,,
98 Carothers Rd,Newport,KY,41071,39.086304249686,-84.477331533927
2280 Lexington Rd,Nicholasville,KY,40356,,
2629 Fort Campbell Blvd,Oak Grove,KY,42262,,
820 Eastern Bypass,Richmond,KY,40475,37.731281975223,-84.282142734163
2106 Lantern Ridge Dr Suite 100,Richmond,KY,40475,37.737601564078,-84.327030980337
1107 W Lexington Ave,Winchester,KY,40391,38.000241196358,-84.197374656263
2714 Veterans Memorial Dr,Abbeville,LA,70510,29.972361726348,-92.103163980146
5837 Essen Lane,Baton Rouge,LA,70810,30.395570421868,-91.109174881695
2834 S Sherwood Forest Blvd,Baton Rouge,LA,70816,30.426444932673,-91.053447890853
6601 Bluebonnet Blvd Suite 325,Baton Rouge,LA,70836,30.390643097739,-91.091464412571
503 North Cutting Ave,Jennings,LA,70546,30.224463586623,-92.655000112726
115 Arnould Blvd,Lafayette,LA,70506,30.202118158224,-92.053404101574
67361 Hwy 59,Mandeville,LA,70471,,
4621 Lapalco Blvd Suite 1,Marrero,LA,70072,29.874987499772,-90.093926394493
401 E Admiral Doyle Dr,New Iberia,LA,70560,29.989887263411,-91.830106336918
899 N Alexander Ave,Port Allen,LA,70767,,
1540 Gause Blvd,Slidell,LA,70458,30.284851767119,-89.756722979733
30555 Walker Rd S Ste 1,Walker,LA,70785,30.504383014225,-90.864136123496
46 Auburn St,Auburn,MA,1501,42.20597448451,-71.833303539248
98 Causeway St,Boston,MA,2114,42.364275888288,-71.063414256837
505 Pittsfield Rd,Lenox,MA,1240,42.405197817065,-73.26505145828
3860 Mystic Valley Pkwy Unit 1,Medford,MA,2155,42.404839990647,-71.091751168631
90 Pleasant Valley St Spc 701,Methuen,MA,1844,42.732849470266,-71.179316636517
230 Needham Street,Newton,MA,2464,42.310037900475,-71.214341342064
421 New State Highway,Raynham,MA,2767,41.905975526063,-71.050569409914
728 Gar Highway,Swansea,MA,2777,,
117 Tower Road,Waltham,MA,2451,,
495 E Main St,Westfield,MA,1085,42.112816815203,-72.721558554126
87 Gold Star Blvd,Worcester,MA,1606,42.290030364698,-71.803804359922
1450 Ritchie Hwy Ste 103,Arnold,MD,21012,,
7702 Belair Road,Baltimore,MD,21236,39.367195064844,-76.516869574938
699 Baltimore Pike,Bel Air,MD,21014,39.523692591352,-76.356892900839
1435a Rock Spring Rd,Bel Air,MD,21014,39.557485546587,-76.369710259761
112 Sunburst Highway,Cambridge,MD,21613,38.569403924811,-76.063894566834
30151 Three Notch Rd,Charlotte Hall,MD,20622,38.496411981305,-76.775268175607
8289 Ocean Gtwy,Easton,MD,21601,38.77513914748,-76.06009002425
2385 Brandermill Blvd Ste 100,Gambrills,MD,21054,,
231 Eastern Blvd N,Hagerstown,MD,21740,39.638359294189,-77.695675758313
18000 Garland Groh Blvd,Hagerstown,MD,21740,39.659305335187,-77.745660832605
900 Pulaski Hwy,Havre De Grace,MD,21078,39.552619115713,-76.101768687949
14613 Baltimore Ave,Laurel,MD,20707,39.090206926818,-76.858369317543
21743 Great Mills Rd,Lexington Park,MD,20653,38.264989055626,-76.454661128311
12523 Ocean Gtwy,Ocean City,MD,21842,38.339349238077,-75.118137311626
1496 Annapolis Road,Odenton,MD,21113,39.096399460947,-76.720470944762
18130 Georgia Ave,Olney,MD,20832,39.153721213819,-77.067028326079
2032 E Joppa Rd,Parkville,MD,21234,39.39867542672,-76.542365003389
1852 Reisterstown Rd Ste 105,Pikesville,MD,21208,39.39034941378,-76.740825524625
4628 Ocean Gateway,Queenstown,MD,21658,38.981436930199,-76.162349009833
8656 Pulaski Highway,Rosedale,MD,21237,39.335160936732,-76.484523851839
1500 South Salisbury Blvd,Salisbury,MD,21801,38.338919084337,-75.606862552037
13340 New Hampshire Ave,Silver Spring,MD,20904,39.074584316288,-77.00247010927
926 York Road,Towson,MD,21204,39.407757318539,-76.607480912882
1380 W Orange Blossom Trail,Apopka,FL,32712,28.685258248311,-81.533720444403
2717 Se Hwy 70,Arcadia,FL,34266,27.20883669674,-81.833017630332
2143 Hwy 92 W,Auburndale,FL,33823,28.05718675652,-81.814844470775
110 E Van Fleet Dr,Bartow,FL,33830,27.904164757677,-81.843084431913
6503 E State Road 64,Bradenton,FL,34208,27.492617556497,-82.480000635599
459 Brandon Town Center Mall Ste 931,Brandon,FL,33511,,
1101 W Brandon Blvd,Brandon,FL,33511,27.937715861139,-82.299828312086
542370 Us Highway 1,Callahan,FL,32011,30.564307808698,-81.830498502253
2517 Santa Barbara Blvd Ste 10,Cape Coral,FL,33914,,
605 Cape Coral Parkway E,Cape Coral,FL,33904,26.562884630604,-81.961537269139
1082 State Road 436,Casselberry,FL,32707,28.644689129355,-81.322151782792
27001 Us Highway 19 N Ste 2036,Clearwater,FL,33761,28.014877678976,-82.736286924926
501 Us Hwy 27,Clermont,FL,34714,28.557544535141,-81.743188914066
4705 N State Road 7,Coconut Creek,FL,33073,26.288659758646,-80.20211220747
1180 N. Suncoast Blvd.,Crystal River,FL,34429,28.885522623867,-82.583804489998
1321 Cornerstone Blvd Ste A,Daytona Beach,FL,32114,29.216781568949,-81.097445375235
199 N Federal Hwy,Deerfield Beach,FL,33441,26.320562073612,-80.090883679366
1690 N. Woodland Blvd.,Deland,FL,32720,29.060868849782,-81.304637668298
1900 S. Federal Hwy,Delray Beach,FL,33483,26.438817169476,-80.071717652411
3280 Howland Blvd Ste 103,Deltona,FL,32725,28.949057025276,-81.251282976033
5451 Factory Shops Blvd Spc 160,Ellenton,FL,34222,27.534389321973,-82.504984634246
15447 Us Highway 441,Eustis,FL,32726,28.822070278337,-81.701294531949
1485 County Road 220,Fleming Island,FL,32003,30.102169112841,-81.707083514177
2216 S Federal Hwy,Fort Lauderdale,FL,33316,26.094532556825,-80.136464521681
4144 Cleveland Avenue # 3-4,Fort Myers,FL,33901,26.602064832039,-81.871889731922
2305 S Us Highway 1 Ste B,Fort Pierce,FL,34982,27.425115181044,-80.325997134291
2612 Nw 13th Street,Gainesville,FL,32609,29.677072975496,-82.339227647189
3997 S Jog Rd,Greenacres,FL,33467,26.619025464924,-80.146775331528
911 Gulf Breeze Pkwy Ste C,Gulf Breeze,FL,32561,30.357340084248,-87.162724274068
35969 Hwy 27,Haines City,FL,33844,28.123356926742,-81.639505777027
715 E. Hallandale Beach Blvd.,Hallandale Beach,FL,33009,25.98581544901,-80.141163158737
9008 State Road 52,Hudson,FL,34669,28.33095644547,-82.665938019476
303 E. Eau Gallie Blvd.,Indian Harbour Beach,FL,32937,,
238 S Us Highway 41 Spc 16,Inverness,FL,34450,28.833475884067,-82.32766338391
2709 E Gulf To Lake Hwy,Inverness,FL,34453,,
9612 Argyle Forest Blvd,Jacksonville,FL,32222,30.195715481142,-81.829396064307
6337 Roosevelt Blvd Unit 8,Jacksonville,FL,32244,30.240705428986,-81.696191636373
12230 San Jose Blvd.,Jacksonville,FL,32223,30.148043099015,-81.632691018439
10400 San Jose Blvd Ste 14,Jacksonville,FL,32257,30.190185522073,-81.627015097948
9344 Atlantic Blvd Ste 1,Jacksonville,FL,32225,30.3176921202,-81.556680083509
36 3rd St S,Jacksonville Beach,FL,32250,30.287878292391,-81.391770074429
335 W Indiantown Rd,Jupiter,FL,33458,26.934150466015,-80.098419934139
1102 Key Plz,Key West,FL,33040,24.582144050064,-81.738575385543
1838 State Road 60 E,Lake Wales,FL,33853,27.893926824447,-81.559460392399
1494 Town Center Dr,Lakeland,FL,33803,28.000026761075,-81.979600561806
3950 E Bay Dr,Largo,FL,33771,27.916521952184,-82.750271972874
2351 101st St,Largo,FL,33771,,
1113 Missouri Ave N,Largo,FL,33770,27.926549560147,-82.787712330781
13801 Walsingham Rd Ste 240b,Largo,FL,33774,27.880445499419,-82.829660394323
10720 Us Hwy 441,Leesburg,FL,34788,28.820674426943,-81.779982117515
2230 Citrus Blvd,Leesburg,FL,34748,28.841691623554,-81.894966570018
10553 Suwanee Plaza Blvd,Live Oak,FL,32060,,
1486 S 6th St,Macclenny,FL,32063,30.26183780042,-82.123024014519
5600 W. Atlantic Blvd.,Margate,FL,33063,26.235261901426,-80.20202668043
925 N Wickham Rd,Melbourne,FL,32935,28.121999698407,-80.671517646782
5410 Immokalee Rd,Naples,FL,34110,26.272784303662,-81.747639462977
1900 Tamiami Trl N,Naples,FL,34102,,
8718 Trouble Creek Rd,New Port Richey,FL,34653,28.236215720174,-82.670871900982
2370 State Road 44,New Smyrna Beach,FL,32168,29.013112731512,-80.96554841657
515 Pine Island Road,North Fort Myers,FL,33903,26.681913828115,-81.896507535867
2400 Ne 49th Terrace Bldg 400,Ocala,FL,34470,29.211981308449,-82.06724238306
4602 Sw College Road Ste 102,Ocala,FL,34474,,
1325 Blanding Blvd,Orange Park,FL,32065,30.123100660001,-81.798332475623
8185 Lee Vista Blvd,Orlando,FL,32829,28.46602430822,-81.274076923573
16727 E. Colonial Dr,Orlando,FL,32820,28.561711289076,-81.132548049512
7720 S Orange Blossom Trl,Orlando,FL,32809,28.453607126105,-81.399928580417
20 S Nova Rd,Ormond Beach,FL,32174,29.278361231421,-81.082901060084
951 Lockwood Blvd Ste 1221,Oviedo,FL,32765,28.657733638222,-81.179153146385
4232 E County Road 466 Ste 102,Oxford,FL,34484,28.927509877415,-82.033503405835
800 S State Road 19,Palatka,FL,32177,29.639842253025,-81.677073718253
1109 Malabar Road Ne,Palm Bay,FL,32907,27.998768460002,-80.63817589464
4895 Belle Terre Pkwy,Palm Coast,FL,32137,,
685 10th St E,Palmetto,FL,34221,27.521170802109,-82.571834099104
515 N. Tyndall Pkwy,Panama City,FL,32404,30.157020698071,-85.59127816061
11560 Panama City Beach Pkwy Ste 100,Panama City Beach,FL,32407,30.205509616643,-85.828337360027
5920 Mobile Highway,Pensacola,FL,32526,30.45970420308,-87.300134388767
7400 66th St N Ste A,Pinellas Park,FL,33781,27.839851156617,-82.728601319122
6898 Us Highway 19 N,Pinellas Park,FL,33781,27.834681839219,-82.681025819504
2909 James L Redman Pkwy Ste 113,Plant City,FL,33566,27.98206742603,-82.121575924059
1979 N Federal Hwy,Pompano Beach,FL,33062,26.255573235236,-80.100389072664
1741 Dunlawton Ave,Port Orange,FL,32127,29.11059345898,-81.026112348652
9431 Us Highway 19,Port Richey,FL,34668,28.294434611958,-82.70912864937
10317 S Federal Hwy,Port St Lucie,FL,34952,,
11147 Sw Village Pkwy,Port St Lucie,FL,34987,27.262775381186,-80.431498744104
900 Tamiami Trl Ste 115,Punta Gorda,FL,33950,,
1216 W Jefferson St,Quincy,FL,32351,30.588072735995,-84.59192900071
11709 Boyette Rd Unit 118,Riverview,FL,33569,27.853482044671,-82.305981623792
3707 13th St,Saint Cloud,FL,34769,28.249206519343,-81.310550544692
520 Durbin Pavilion Dr,Saint Johns,FL,32259,,
4010 Cattlemen Rd,Sarasota,FL,34233,27.296147617932,-82.45167934081
140 University Town Center Dr,Sarasota,FL,34243,,
1676 Us Highway 1,Sebastian,FL,32958,27.826427922752,-80.476330271325
2729 Us Highway 27 S,Sebring,FL,33870,27.472343606392,-81.449596370082
4223 Sebring Pkwy,Sebring,FL,33870,27.514827613411,-81.490942392025
4106 Mariner Blvd,Spring Hill,FL,34609,28.49093864858,-82.542083519474
4160 Commercial Way,Spring Hill,FL,34606,28.489396173529,-82.600874011979
3900 A1a South,St Augustine,FL,32080,29.824702435601,-81.271351759775
4444 4th Street North,St Petersburg,FL,33703,27.812548311085,-82.638670008831
785 4th St N,St Petersburg,FL,33701,27.780166940067,-82.638498099725
8700 4th St N,St Petersburg,FL,33702,27.851668151484,-82.63883535167
6127 Se Federal Hwy,Stuart,FL,34997,27.130524146335,-80.202050531733
1622 Capital Cir Ne,Tallahassee,FL,32308,30.462263991459,-84.228051968546
2110 N Monroe St,Tallahassee,FL,32303,30.469170576619,-84.287422164717
